# SABCEMM Data Export
# Collector: excessdemand
# Quantity: excessdemand
# Method: full
# Group ID: -1
# Simulation: cross_simulation_1
# Number of Series: 1
# Time Steps: 10001
#
TimeStep,Series_0
0,0
1,0.02
2,0.22
3,0.22
4,0.22
5,0.22
6,0.22
7,0.22
8,0.22
9,0.22
10,0.22
11,0.22
12,0.22
13,0.22
14,0.16
15,0.16
16,0.16
17,0.16
18,0.16
19,0.16
20,0.16
21,0.16
22,0.16
23,0.16
24,0.16
25,0.18
26,0.18
27,0.18
28,0.18
29,0.18
30,0.18
31,0.18
32,0.18
33,0.18
34,0.18
35,0.18
36,0.18
37,0.18
38,0.18
39,0.18
40,0.18
41,0.18
42,0.18
43,0.18
44,0.18
45,0.18
46,0.18
47,0.18
48,0.18
49,0.18
50,0.18
51,0.18
52,0.18
53,0.18
54,0.18
55,0.18
56,0.18
57,0.18
58,0.18
59,0.18
60,0.18
61,0.18
62,0.18
63,0.18
64,0.18
65,0.18
66,0.18
67,0.18
68,0.18
69,0.26
70,0.26
71,0.26
72,0.26
73,0.26
74,0.26
75,0.28
76,0.28
77,0.3
78,0.3
79,0.3
80,0.3
81,0.3
82,0.3
83,0.3
84,0.3
85,0.3
86,0.3
87,0.3
88,0.3
89,0.3
90,0.32
91,0.32
92,0.32
93,0.32
94,0.34
95,0.34
96,0.34
97,0.34
98,0.36
99,0.36
100,0.36
101,0.36
102,0.36
103,0.36
104,0.38
105,0.38
106,0.4
107,0.4
108,0.4
109,0.4
110,0.44
111,0.44
112,0.44
113,0.44
114,0.46
115,0.46
116,0.48
117,0.48
118,0.48
119,0.4
120,0.4
121,0.4
122,0.4
123,0.4
124,0.42
125,0.44
126,0.44
127,0.44
128,0.44
129,0.44
130,0.44
131,0.46
132,0.46
133,0.46
134,0.46
135,0.48
136,0.5
137,0.52
138,0.52
139,0.52
140,0.52
141,0.6
142,0.6
143,0.6
144,0.6
145,0.6
146,0.54
147,0.58
148,0.4
149,0.4
150,0.42
151,0.42
152,0.46
153,0.46
154,0.46
155,0.46
156,0.46
157,0.46
158,0.46
159,0.46
160,0.46
161,0.46
162,0.46
163,0.5
164,0.5
165,0.5
166,0.5
167,0.5
168,0.5
169,0.5
170,0.5
171,0.52
172,0.52
173,0.54
174,0.54
175,0.54
176,0.54
177,0.54
178,0.54
179,0.56
180,0.56
181,0.56
182,0.58
183,0.58
184,0.58
185,0.58
186,0.58
187,0.58
188,0.58
189,0.58
190,0.58
191,0.58
192,0.58
193,0.5
194,0.5
195,0.48
196,0.48
197,0.48
198,0.5
199,0.52
200,0.54
201,0.54
202,0.54
203,0.56
204,0.58
205,0.58
206,0.58
207,0.58
208,0.58
209,0.58
210,0.58
211,0.58
212,0.58
213,0.58
214,0.58
215,0.58
216,0.6
217,0.6
218,0.6
219,0.6
220,0.6
221,0.62
222,0.62
223,0.62
224,0.62
225,0.62
226,0.62
227,0.62
228,0.62
229,0.62
230,0.62
231,0.46
232,0.46
233,0.46
234,0.46
235,0.46
236,0.46
237,0.46
238,0.46
239,0.46
240,0.48
241,0.48
242,0.48
243,0.48
244,0.48
245,0.48
246,0.5
