# SABCEMM Data Export
# Collector: excessdemand
# Quantity: excessdemand
# Method: full
# Group ID: -1
# Simulation: cross_simulation_0
# Number of Series: 1
# Time Steps: 1001
#
TimeStep,Series_0
0,0
1,0.06
2,0.08
3,0.08
4,0.08
5,0.08
6,0.08
7,0.08
8,0.08
9,0.08
10,0.08
11,0.08
12,0.08
13,0.08
14,0.08
15,0.08
16,0.08
17,0.08
18,0.08
19,0.08
20,0.08
21,0.08
22,0.08
23,0.08
24,0.08
25,0.08
26,0.08
27,0.08
28,0.08
29,0.08
30,0.08
31,0.08
32,0.08
33,0.08
34,0.08
35,0.08
36,0.08
37,0.08
38,0.08
39,0.08
40,0.08
41,0.08
42,0.08
43,0.08
44,0.1
45,0.12
46,0.12
47,0.12
48,0.12
49,0.12
50,0.12
51,0.12
52,0.12
53,0.12
54,0.12
55,0.12
56,0.12
57,0.12
58,0.12
59,0.12
60,0.12
61,0.12
62,0.12
63,0.12
64,0.12
65,0.12
66,0.12
67,0.12
68,0.12
69,0.12
70,0.12
71,0.12
72,0.12
73,0.12
74,0.12
75,0.12
76,0.12
77,0.12
78,0.12
79,0.14
80,0.14
81,0.14
82,0.14
83,0.14
84,0.14
85,0.14
86,0.14
87,0.14
88,0.14
89,0.14
90,0.14
91,0.14
92,0.14
93,0.14
94,0.14
95,0.14
96,0.16
97,0.16
98,0.16
99,0.16
100,0.16
101,0.16
102,0.16
103,0.16
104,0.16
105,0.16
106,0.16
107,0.18
108,0.2
109,0.2
110,0.2
111,0.2
112,0.2
113,0.2
114,0.2
115,0.2
116,0.2
117,0.2
118,0.2
119,0.2
120,0.2
121,0.2
122,0.2
123,0.2
124,0.2
125,0.2
126,0.2
127,0.2
128,0.2
129,0.2
130,0.2
131,0.2
132,0.2
133,0.2
134,0.2
135,0.2
136,0.2
137,0.2
138,0.2
139,0.2
140,0.22
141,0.22
142,0.22
143,0.22
144,0.22
145,0.22
146,0.22
147,0.22
148,0.22
149,0.22
150,0.22
151,0.22
152,0.22
153,0.22
154,0.24
155,0.24
156,0.24
157,0.24
158,0.24
159,0.24
160,0.24
161,0.24
162,0.24
163,0.24
164,0.24
165,0.24
166,0.24
167,0.26
168,0.26
169,0.26
170,0.26
171,0.26
172,0.26
173,0.26
174,0.28
175,0.32
176,0.34
177,0.36
178,0.36
179,0.36
180,0.36
181,0.36
182,0.38
183,0.42
184,0.42
185,0.42
186,0.42
187,0.48
188,0.48
189,0.48
190,0.38
191,0.38
192,0.38
193,0.4
194,0.4
195,0.4
196,0.4
197,0.42
198,0.42
199,0.42
200,0.42
201,0.42
202,0.42
203,0.44
204,0.44
205,0.46
206,0.46
207,0.46
208,0.46
209,0.48
210,0.5
211,0.52
212,0.52
213,0.48
214,0.48
215,0.48
216,0.48
217,0.48
218,0.5
219,0.5
220,0.54
221,0.54
222,0.54
223,0.48
224,0.44
225,0.44
226,0.44
227,0.44
228,0.44
229,0.44
230,0.44
231,0.42
232,0.42
233,0.42
234,0.44
235,0.4
236,0.4
237,0.3
238,0.3
239,0.3
240,0.3
241,0.3
242,0.32
243,0.32
244,0.32
245,0.32
246,0.32
247,0.32
248,0.32
249,0.32
250,0.26
251,0.26
252,0.26
253,0.16
254,0.16
255,0.16
256,0.16
257,0.16
258,0.16
259,0.16
260,0.16
261,0.16
262,0.16
263,0.16
264,0.16
265,0.16
266,0.16
267,0.16
268,0.16
269,0.16
270,0.18
271,0.18
272,0.18
273,0.18
274,0.18
275,0.18
276,0.18
277,0.18
278,0.18
279,0.18
280,0.18
281,0.18
282,0.18
283,0.18
284,0.18
285,0.18
286,0.18
287,0.2
288,0.2
289,0.2
290,0.2
291,0.2
292,0.2
293,0.2
294,0.2
295,0.2
296,0.2
297,0.2
298,0.2
299,0.2
300,0.2
301,0.2
302,0.2
303,0.22
304,0.22
305,0.22
306,0.22
307,0.22
308,0.22
309,0.22
310,0.22
311,0.22
312,0.22
313,0.22
314,0.22
315,0.22
316,0.22
317,0.22
318,0.22
319,0.22
320,0.22
321,0.22
322,0.22
323,0.22
324,0.22
325,0.22
326,0.22
327,0.22
328,0.22
329,0.22
330,0.22
331,0.22
332,0.22
333,0.22
334,0.22
335,0.22
336,0.22
337,0.22
338,0.22
339,0.22
340,0.22
341,0.22
342,0.24
343,0.24
344,0.24
345,0.24
346,0.26
347,0.26
