# SABCEMM Data Export
# Collector: excessdemand
# Quantity: excessdemand
# Method: full
# Group ID: -1
# Simulation: cross_simulation_0
# Number of Series: 1
# Time Steps: 1001
#
TimeStep,Series_0
0,0
1,0.06
2,0.26
3,0.26
4,0.26
5,0.26
6,0.26
7,0.26
8,0.26
9,0.26
10,0.28
11,0.28
12,0.28
13,0.3
14,0.3
15,0.3
16,0.3
17,0.3
18,0.3
19,0.3
20,0.3
21,0.32
22,0.32
23,0.32
24,0.32
25,0.32
26,0.32
27,0.32
28,0.32
29,0.32
30,0.32
31,0.34
32,0.36
33,0.36
34,0.36
35,0.36
36,0.36
37,0.36
38,0.36
39,0.36
40,0.36
41,0.36
42,0.36
43,0.36
44,0.36
45,0.36
46,0.36
47,0.36
48,0.36
49,0.36
50,0.36
51,0.36
52,0.36
53,0.36
54,0.36
55,0.36
56,0.36
57,0.32
58,0.32
59,0.32
60,0.32
61,0.32
62,0.32
63,0.32
64,0.32
65,0.32
66,0.32
67,0.32
68,0.32
69,0.32
70,0.32
71,0.32
72,0.34
73,0.34
74,0.34
75,0.34
76,0.34
77,0.34
78,0.32
79,0.32
80,0.34
81,0.34
82,0.34
83,0.34
84,0.36
85,0.36
86,0.36
87,0.38
88,0.38
89,0.38
90,0.4
91,0.4
92,0.4
93,0.42
94,0.42
95,0.42
96,0.42
97,0.44
98,0.44
99,0.46
100,0.46
101,0.46
102,0.38
103,0.4
104,0.52
105,0.52
106,0.52
107,0.54
108,0.54
109,0.54
110,0.54
111,0.54
112,0.54
113,0.54
114,0.54
115,0.54
116,0.54
117,0.54
118,0.54
119,0.54
120,0.54
121,0.56
122,0.56
123,0.6
124,0.6
125,0.6
126,0.6
127,0.6
128,0.56
129,0.56
130,0.56
131,0.56
132,0.56
133,0.56
134,0.56
135,0.56
136,0.56
137,0.56
138,0.56
139,0.56
140,0.56
141,0.58
142,0.6
143,0.6
144,0.6
145,0.6
146,0.6
147,0.6
148,0.6
149,0.6
150,0.6
151,0.6
152,0.6
153,0.6
154,0.6
155,0.66
156,0.64
157,0.64
158,0.66
159,0.66
160,0.68
161,0.68
162,0.66
163,0.66
164,0.66
165,0.66
166,0.68
167,0.68
168,0.68
169,0.68
170,0.68
171,0.68
172,0.68
173,0.68
174,0.68
175,0.68
176,0.7
177,0.66
178,0.66
179,0.66
180,0.66
181,0.66
182,0.66
183,0.66
184,0.66
185,0.66
186,0.66
187,0.66
188,0.68
189,0.68
190,0.68
191,0.68
192,0.68
193,0.68
194,0.68
195,0.68
196,0.68
197,0.68
198,0.68
199,0.68
200,0.68
201,0.68
202,0.64
203,0.68
204,0.8
205,0.78
206,0.78
207,0.78
208,0.76
209,0.74
210,0.74
211,0.74
212,0.74
213,0.72
214,0.72
215,0.72
216,0.72
217,0.72
218,0.7
219,0.66
220,0.62
221,0.48
222,0.3
223,-0.36
224,-0.46
225,-0.38
226,-0.38
227,-0.38
228,-0.38
229,-0.38
230,-0.38
231,-0.38
232,-0.38
233,-0.38
234,-0.38
235,-0.38
236,-0.38
237,-0.38
238,-0.38
239,-0.38
240,-0.36
241,-0.28
242,-0.28
243,-0.28
244,-0.28
245,-0.28
246,-0.28
247,-0.28
248,-0.28
249,-0.28
250,-0.28
251,-0.28
252,-0.28
253,-0.28
254,-0.28
255,-0.28
256,-0.28
257,-0.28
258,-0.28
259,-0.28
260,-0.28
261,-0.28
262,-0.28
263,-0.28
264,-0.28
265,-0.28
266,-0.28
267,-0.28
268,-0.3
269,-0.3
270,-0.3
271,-0.3
272,-0.3
273,-0.3
274,-0.3
275,-0.3
276,-0.3
277,-0.3
278,-0.3
279,-0.3
280,-0.3
281,-0.3
282,-0.3
283,-0.3
284,-0.3
285,-0.3
286,-0.3
287,-0.3
288,-0.3
289,-0.3
290,-0.3
291,-0.3
292,-0.3
293,-0.3
294,-0.3
295,-0.3
296,-0.3
297,-0.3
298,-0.3
299,-0.3
300,-0.3
301,-0.3
302,-0.3
303,-0.3
304,-0.3
305,-0.3
306,-0.3
307,-0.3
308,-0.3
309,-0.3
310,-0.3
311,-0.3
312,-0.3
313,-0.3
314,-0.32
315,-0.32
316,-0.32
317,-0.34
318,-0.34
319,-0.34
320,-0.34
321,-0.34
322,-0.34
323,-0.34
324,-0.34
325,-0.34
326,-0.36
327,-0.36
328,-0.36
329,-0.36
